transaction_id,store_id,product_id,qty,unit_price,timestamp,payment_method,product_name,category,department,supplier_code,is_active
TXN-1001,STR-01,PRD-201,2,29.99,2024-03-15 08:14:22,CREDIT,Yoga Mat,Fitness Equipment,Sports,SUP-44,true
TXN-1002,STR-01,PRD-305,1,149.99,2024-03-15 08:31:07,DEBIT,Wireless Headphones,Audio,Electronics,SUP-12,true
TXN-1003,STR-02,PRD-201,3,29.99,2024-03-15 09:02:45,CASH,Yoga Mat,Fitness Equipment,Sports,SUP-44,true
TXN-1004,STR-03,PRD-410,1,89.99,2024-03-15 09:18:33,CREDIT,Cast Iron Skillet,Cookware,Kitchen,SUP-29,true
TXN-1005,TEST,PRD-201,1,29.99,2024-03-15 09:22:11,CREDIT,Yoga Mat,Fitness Equipment,Sports,SUP-44,true
TXN-1006,STR-02,PRD-512,2,19.99,2024-03-15 10:05:58,CREDIT,Dish Towel Set,Kitchen Linens,Kitchen,SUP-29,true
TXN-1007,STR-01,PRD-305,-1,149.99,2024-03-15 10:44:17,DEBIT,Wireless Headphones,Audio,Electronics,SUP-12,true
TXN-1008,STR-03,PRD-610,4,9.99,2024-03-15 11:02:39,CASH,Energy Bar 12pk,Nutrition,Grocery,SUP-71,true
TXN-1009,STR-02,PRD-410,2,89.99,2024-03-15 11:28:04,CREDIT,Cast Iron Skillet,Cookware,Kitchen,SUP-29,true
TXN-1010,STR-01,PRD-512,1,19.99,2024-03-15 12:01:55,DEBIT,Dish Towel Set,Kitchen Linens,Kitchen,SUP-29,true
TXN-1011,STR-03,PRD-201,2,29.99,2024-03-15 12:44:30,CASH,Yoga Mat,Fitness Equipment,Sports,SUP-44,true
TXN-1012,STR-02,PRD-610,6,9.99,2024-03-15 13:15:22,CREDIT,Energy Bar 12pk,Nutrition,Grocery,SUP-71,true
TXN-1013,STR-01,PRD-410,1,89.99,2024-03-15 14:02:18,CREDIT,Cast Iron Skillet,Cookware,Kitchen,SUP-29,true
TXN-1014,STR-03,PRD-305,2,149.99,2024-03-15 14:38:47,DEBIT,Wireless Headphones,Audio,Electronics,SUP-12,true
TXN-1015,STR-02,PRD-201,1,29.99,2024-03-15 15:11:09,CASH,Yoga Mat,Fitness Equipment,Sports,SUP-44,true